N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
257,한섬,"36,600",400,+1.10%,500,"9,015","24,630",28.49,"41,055",8.41,7.85,
258,제이알글로벌리츠,"5,360",10,+0.19%,"1,000","8,876","165,600",5.80,"371,881",N/A,N/A,
259,SBS,"48,500",600,-1.22%,"5,000","8,852","18,253",0.00,"115,025",5.60,-12.32,
260,진에어,"16,950",350,-2.02%,"1,000","8,848","52,200",2.44,"103,958",-3.41,-131.35,
261,한국콜마,"38,650",650,-1.65%,500,"8,844","22,881",25.91,"81,748",5.58,29.27,
262,쿠쿠홈시스,"39,400",50,-0.13%,100,"8,840","22,437",4.77,"49,250",6.05,15.94,
263,해성디에스,"51,700",600,+1.17%,"5,000","8,789","17,000",9.18,"626,460",17.87,13.62,
264,SK디스커버리,"46,000",450,-0.97%,"5,000","8,757","19,038",7.23,"30,632",4.78,14.71,
265,제주항공,"17,450",200,-1.13%,"1,000","8,683","49,760",0.63,"58,877",-2.75,-113.11,
266,부광약품,"12,000",150,-1.23%,500,"8,528","71,063",5.98,"247,164",-193.55,-2.46,
267,동원산업,"229,000","2,500",+1.10%,"5,000","8,422","3,678",7.88,"4,376",4.11,21.01,
268,서울가스,"165,500",0,0.00%,"5,000","8,275","5,000",7.45,"5,269",664.66,13.14,
269,현대그린푸드,"8,460",40,+0.48%,500,"8,266","97,704",9.13,"116,917",10.43,4.07,
270,대한해운,"2,585",45,+1.77%,500,"8,251","319,177",4.63,"843,067",3.53,1.10,
271,GKL,"13,250",0,0.00%,500,"8,196","61,856",3.21,"151,408",-7.34,-12.01,
272,삼양홀딩스,"95,300",500,-0.52%,"5,000","8,162","8,564",8.02,"10,786",3.23,6.96,
273,경동나비엔,"54,900",600,-1.08%,"1,000","7,998","14,569",13.23,"38,021",8.52,12.83,
274,대상,"23,000",150,-0.65%,"1,000","7,969","34,648",10.36,"61,456",8.90,12.02,
275,LX홀딩스,"10,400",100,+0.97%,"1,000","7,933","76,281",9.29,"301,147",N/A,N/A,
276,우리종금,903,1,-0.11%,500,"7,894","874,203",1.94,"2,355,023",9.71,14.05,
277,롯데제과,"123,000","1,500",+1.23%,500,"7,893","6,417",17.59,"2,919",14.00,3.42,
278,세아베스틸,"21,850",250,+1.16%,"5,000","7,836","35,862",17.54,"246,052",-8.41,-14.18,
279,KODEX 자동차,"21,260",615,-2.81%,0,"7,781","36,600",1.61,"427,314",N/A,N/A,
280,드림텍,"11,900",400,-3.25%,100,"7,776","65,343",21.15,"611,159",12.34,8.79,
281,NHN,"39,700",750,-1.85%,500,"7,767","19,565",17.90,"93,160",45.84,1.35,
282,유안타증권,"3,885",35,-0.89%,"5,000","7,754","199,597",63.78,"170,046",3.43,7.92,
283,대성홀딩스,"47,900",500,+1.05%,"1,000","7,707","16,089",6.87,"11,842",91.76,9.73,
284,파미셀,"12,800",0,0.00%,500,"7,675","59,959",8.24,"296,057",92.09,9.65,
285,현대홈쇼핑,"63,400",100,-0.16%,"5,000","7,608","12,000",29.08,"6,475",5.23,6.39,
286,유나이티드제약,"46,100",200,+0.44%,500,"7,489","16,245",8.18,"40,028",25.61,10.01,
287,한국단자,"71,100","1,900",-2.60%,500,"7,405","10,415",22.62,"28,696",9.54,7.84,
288,현대일렉트릭,"20,500",300,-1.44%,"5,000","7,390","36,047",14.12,"104,636",113.26,-5.84,
289,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),"10,920",135,-1.22%,0,"7,382","67,600",1.20,"485,987",N/A,N/A,
290,덴티움,"66,600","3,200",-4.58%,500,"7,372","11,069",21.73,"145,818",15.26,10.34,
291,동원F&B,"191,000","2,000",-1.04%,"5,000","7,371","3,859",5.70,"10,724",9.77,10.91,
292,미래에셋생명,"4,140",105,+2.60%,"5,000","7,328","177,016",4.38,"108,921",27.24,3.45,
293,삼양식품,"96,600","1,900",-1.93%,"5,000","7,277","7,533",9.62,"60,788",16.74,21.47,
294,디티알오토모티브,"72,800",700,-0.95%,500,"7,276","9,994",6.00,"25,354",12.97,7.48,
295,아모레퍼시픽우,"68,200","2,300",-3.26%,500,"7,200","10,558",61.72,"24,217",26.30,N/A,
296,HANARO 200,"39,195",325,-0.82%,0,"7,173","18,300",0.02,"21,853",N/A,N/A,
297,ARIRANG 200,"39,820",350,-0.87%,0,"7,168","18,000",0.00,"66,773",N/A,N/A,
298,동아쏘시오홀딩스,"112,500","2,000",-1.75%,"5,000","7,141","6,348",12.07,"7,984",3.27,19.87,
299,넥센타이어,"7,220",30,+0.42%,500,"7,052","97,668",5.28,"166,186",27.98,-1.09,
300,코리아써키트,"29,550","1,900",-6.04%,500,"6,980","23,621",7.50,"752,625",31.95,3.39,
301,SNT모티브,"47,100",600,-1.26%,"5,000","6,887","14,623",20.94,"25,238",9.97,7.28,
302,DL건설,"31,150","1,950",+6.68%,"5,000","6,870","22,053",2.15,"187,675",5.03,23.71,
303,SGC에너지,"46,100",200,+0.44%,"5,000","6,766","14,677",1.53,"20,887",11.37,6.24,
304,영원무역홀딩스,"49,200","1,100",+2.29%,500,"6,709","13,636",20.54,"30,187",4.10,7.64,
305,SK디앤디,"30,200",200,-0.66%,"1,000","6,701","22,190",5.10,"10,231",10.01,14.88,
306,KINDEX 200,"39,485",310,-0.78%,0,"6,693","16,950",26.17,"98,961",N/A,N/A,
307,쿠쿠홀딩스,"18,800",150,+0.80%,100,"6,686","35,562",8.11,"28,452",4.68,14.88,
308,율촌화학,"26,900",250,-0.92%,500,"6,671","24,800",5.05,"385,239",64.66,5.85,
309,KODEX 코스닥150 레버리지,"13,955",630,-4.32%,0,"6,670","47,800",2.96,"11,817,147",N/A,N/A,
310,한진중공업,"7,920",200,+2.59%,"5,000","6,595","83,274",20.08,"66,536",-7.76,27.71,
311,DI동일,"262,000","5,000",-1.87%,"5,000","6,578","2,511",2.71,"6,179",18.81,4.00,
312,일동제약,"27,500","2,200",-7.41%,"1,000","6,546","23,803",3.84,"913,001",-26.29,-5.13,
313,삼양사,"63,300",800,+1.28%,"5,000","6,528","10,313",5.45,"15,873",13.70,5.06,
314,한국토지신탁,"2,570",25,-0.96%,"1,000","6,489","252,489",17.81,"698,743",5.16,9.44,
315,풀무원,"17,000",50,+0.29%,500,"6,480","38,121",0.78,"53,298",37.78,3.84,
316,미래에셋증권2우B,"4,600",50,-1.08%,"5,000","6,440","140,000",11.50,"146,331",3.15,N/A,
317,NICE,"16,800",0,0.00%,500,"6,364","37,882",19.83,"49,123",13.18,2.43,
318,HDC,"10,600",100,+0.95%,"5,000","6,333","59,742",17.87,"182,566",3.57,4.72,
319,KODEX Top5PlusTR,"19,090",130,-0.68%,0,"6,319","33,100",15.11,"11,059",N/A,N/A,
320,한일현대시멘트,"34,950",400,-1.13%,"5,000","6,212","17,775",0.35,"25,931",11.08,27.27,
321,삼성 레버리지 WTI원유 선물 ETN,"1,205",35,-2.82%,0,"6,073","504,000",0.00,"1,035,114",N/A,N/A,
322,흥아해운,"2,525",100,-3.81%,500,"6,071","240,425",0.84,"511,616",39.45,"-2,195.07",
323,락앤락,"11,750",50,-0.42%,500,"6,057","51,550",75.71,"71,252",35.93,1.74,
324,코오롱글로벌,"23,950",100,+0.42%,"5,000","6,038","25,210",2.08,"50,870",4.40,17.83,
325,SPC삼립,"69,700",500,-0.71%,"5,000","6,014","8,629",2.28,"3,135",22.97,-3.98,
326,롯데정보통신,"39,050",250,-0.64%,"5,000","6,012","15,396",1.61,"111,653",15.32,7.43,
327,키다리스튜디오,"17,900",700,+4.07%,500,"5,968","33,339",1.60,"513,613",76.50,0.22,
328,삼화콘덴서,"57,300",900,-1.55%,"1,000","5,956","10,395",7.77,"33,064",19.52,14.28,
329,LX하우시스,"66,400",100,+0.15%,"5,000","5,955","8,968",24.96,"78,864",-5.76,-8.80,
330,동아에스티,"70,100",200,-0.28%,"5,000","5,921","8,446",19.90,"9,618",146.96,4.21,
331,이연제약,"32,650",850,-2.54%,500,"5,877","17,999",1.38,"77,318",103.98,1.71,
332,롯데하이마트,"24,800",500,-1.98%,"5,000","5,855","23,608",8.00,"31,549",59.33,1.49,
333,KOSEF 200,"39,160",305,-0.77%,0,"5,815","14,850",0.00,"2,003",N/A,N/A,
334,QV 코스피 변동성 매칭형 양매도 ETN,"8,280",0,0.00%,0,"5,796","70,000",0.00,0,N/A,N/A,
335,국도화학,"64,300","1,800",+2.88%,"5,000","5,794","9,011",22.00,"151,237",3.78,5.54,
336,신영증권,"61,500",300,+0.49%,"5,000","5,773","9,386",7.88,"3,592",6.64,15.34,
337,KINDEX 미국S&P500,"14,250",105,-0.73%,0,"5,700","40,000",0.63,"232,721",N/A,N/A,
338,아세아시멘트,"144,500","2,500",-1.70%,"5,000","5,629","3,896",4.10,"29,310",6.89,2.94,
339,신한 레버리지 WTI원유 선물 ETN(H),960,25,-2.54%,0,"5,568","580,000",0.00,"1,155,329",N/A,N/A,
340,애경케미칼,"11,100",200,-1.77%,500,"5,400","48,649",9.00,"116,869",4.33,11.72,
341,송원산업,"22,450",450,-1.97%,500,"5,388","24,000",18.39,"391,644",11.00,6.17,
342,한국카본,"12,200",350,+2.95%,500,"5,363","43,961",6.14,"1,765,122",16.49,16.55,
343,스틱인베스트먼트,"12,800",500,-3.76%,500,"5,335","41,678",5.16,"608,839",12.90,11.76,
344,교보증권,"8,220",20,+0.24%,"5,000","5,314","64,653",4.34,"28,722",3.31,9.35,
345,효성중공업,"56,500","1,000",-1.74%,"5,000","5,268","9,325",6.15,"25,672",17.98,-2.48,
346,롯데손해보험,"1,695",55,+3.35%,"1,000","5,260","310,336",0.70,"602,074",51.36,-2.53,
347,삼성SDI우,"324,000","10,500",-3.14%,"5,000","5,242","1,618",17.41,"5,288",20.32,N/A,
348,TIGER KRX2차전지K-뉴딜,"16,510",275,-1.64%,0,"5,234","31,700",0.51,"497,284",N/A,N/A,
349,KEC,"3,610",140,-3.73%,500,"5,225","144,748",2.31,"3,907,401",-28.65,-24.43,
350,삼성화재우,"163,500","3,500",+2.19%,500,"5,219","3,192",23.27,"14,587",7.07,N/A,
351,빙그레,"52,900",300,+0.57%,"5,000","5,211","9,851",19.19,"10,521",33.02,6.01,
352,일양약품,"27,050",400,-1.46%,"2,500","5,163","19,086",11.24,"60,157",45.69,5.39,
353,KOSEF 200TR,"46,720",380,-0.81%,0,"5,139","11,000",0.00,"21,999",N/A,N/A,
354,한국자산신탁,"4,070",40,+0.99%,500,"5,046","123,978",8.26,"226,270",4.51,18.18,
355,고려제강,"21,700",250,+1.17%,"1,000","4,991","23,000",8.30,"48,857",4.22,0.62,
356,LF,"17,050",150,+0.89%,"5,000","4,985","29,240",23.91,"86,491",5.39,1.41,
357,애경산업,"18,800",150,-0.79%,"1,000","4,965","26,410",1.93,"30,124",28.40,3.41,
358,BGF,"5,170",80,-1.52%,"1,000","4,949","95,717",5.22,"136,264",10.75,1.81,
359,남해화학,"9,960",40,-0.40%,"1,000","4,948","49,679",5.27,"239,877",111.91,5.65,
360,서흥,"42,750",0,0.00%,500,"4,946","11,569",11.34,"10,280",9.10,16.73,
361,KODEX 미국FANG플러스(H),"28,795",100,-0.35%,0,"4,938","17,150",0.10,"79,223",N/A,N/A,
362,JW중외제약,"22,850",100,+0.44%,"2,500","4,922","21,540",5.75,"67,038",-448.04,-6.97,
363,아주스틸,"18,600",200,-1.06%,500,"4,920","26,452",3.23,"116,446",29.76,10.65,
364,한진,"32,900",600,+1.86%,"5,000","4,918","14,948",11.47,"62,837",2.37,0.74,
365,아세아제지,"54,400",200,-0.37%,"5,000","4,872","8,957",5.84,"25,662",5.29,8.90,
366,신성통상,"3,380",195,-5.45%,500,"4,857","143,708",2.77,"1,563,998",13.25,11.62,
367,한화손해보험,"4,130",175,+4.42%,"5,000","4,821","116,739",8.20,"1,045,244",3.69,3.11,
368,한라홀딩스,"46,000",200,-0.43%,"5,000","4,817","10,472",14.07,"26,127",3.69,4.97,
369,제일약품,"32,650",300,+0.93%,500,"4,801","14,705",2.84,"52,239",-424.03,N/A,
370,SK렌터카,"10,050",150,-1.47%,500,"4,752","47,286",0.57,"47,972",18.72,4.50,
371,자화전자,"25,850","1,100",-4.08%,500,"4,627","17,900",7.61,"489,905",22.98,-2.30,
372,케이씨텍,"22,100",600,-2.64%,500,"4,610","20,862",10.54,"86,216",10.53,13.39,
373,코람코에너지리츠,"6,560",10,-0.15%,500,"4,567","69,620",1.11,"60,286",56.07,2.63,
374,SK증권,964,13,-1.33%,500,"4,556","472,590",6.11,"2,385,518",9.36,1.99,
375,YG PLUS,"7,130",240,-3.26%,500,"4,523","63,429",3.03,"763,910",93.82,-6.94,
376,현대퓨처넷,"3,995",130,-3.15%,500,"4,509","112,877",13.11,"239,701",5.94,-4.11,
377,세아제강지주,"108,500",0,0.00%,"5,000","4,494","4,142",7.38,"13,665",3.27,1.76,
378,금호건설,"12,250",100,+0.82%,"5,000","4,488","36,634",6.63,"198,583",4.15,6.89,
379,HSD엔진,"9,580",400,+4.36%,"1,000","4,476","46,721",6.21,"1,703,137",-15.40,3.16,
380,코오롱플라스틱,"11,750",550,-4.47%,"1,000","4,465","38,000",1.45,"395,295",16.48,1.51,
381,태영건설,"11,400",450,+4.11%,500,"4,434","38,899",8.50,"208,653",-186.89,61.96,
382,맵스리얼티1,"4,690",0,0.00%,0,"4,354","92,834",3.75,"57,289",N/A,N/A,
383,지역난방공사,"37,400",250,+0.67%,"5,000","4,330","11,579",0.91,"1,758",9.92,1.68,
384,신영증권우,"61,100",300,-0.49%,"5,000","4,310","7,054",6.25,"1,249",6.60,N/A,
385,삼성 코스피 양매도 5% OTM ETN,"8,615",0,0.00%,0,"4,308","50,000",0.00,0,N/A,N/A,
386,대한제강,"17,450",500,-2.79%,"1,000","4,301","24,647",11.99,"152,854",4.73,10.21,
387,이수화학,"15,350",150,-0.97%,"5,000","4,292","27,960",2.34,"520,494",-8.62,-31.08,
388,KODEX K-메타버스액티브,"11,580",255,-2.15%,0,"4,290","37,050",0.24,"2,233,627",N/A,N/A,
389,코오롱,"33,800","1,500",-4.25%,"5,000","4,268","12,626",11.35,"94,997",2.52,22.75,
390,스카이라이프,"8,840",140,-1.56%,"2,500","4,227","47,822",14.86,"34,216",7.93,7.97,
391,세아홀딩스,"105,500","1,000",-0.94%,"5,000","4,220","4,000",0.73,819,-2.96,-8.48,
392,엔에스쇼핑,"12,500",200,-1.57%,500,"4,212","33,696",6.97,"45,467",-18.01,1.53,
393,에어부산,"2,170",50,-2.25%,"1,000","4,208","193,920",0.27,"370,206",-1.04,N/A,
394,이수페타시스,"6,640",510,-7.13%,"1,000","4,200","63,246",6.59,"3,493,990",-22.43,-19.14,
395,금호에이치티,"2,135",35,+1.67%,500,"4,196","196,542",1.68,"872,945","-2,135.00",-4.85,
396,KG케미칼,"30,250",200,-0.66%,"5,000","4,194","13,866",3.25,"44,830",4.45,11.94,
397,신한알파리츠,"8,010",10,+0.13%,"1,000","4,192","52,330",1.45,"88,447",267.00,0.59,
398,쌍용차,"2,770",0,0.00%,"5,000","4,151","149,840",76.58,0,-0.94,-320.22,
399,대신증권우,"15,900",300,+1.92%,"5,000","4,134","26,000",11.48,"53,039",2.17,N/A,
400,신성이엔지,"2,025",30,-1.46%,500,"4,133","204,119",5.12,"756,326",-12.35,-8.77,
401,KODEX 코스닥150선물인버스,"4,370",95,+2.22%,0,"4,121","94,300",7.16,"22,003,158",N/A,N/A,
402,롯데푸드,"339,500","2,000",-0.59%,"5,000","4,105","1,209",11.72,661,13.77,N/A,
403,동화약품,"14,600",0,0.00%,"1,000","4,078","27,931",2.45,"137,857",20.48,9.04,
404,일진다이아,"28,550","1,000",-3.38%,"1,000","4,055","14,203",2.44,"65,757",59.36,2.88,
405,LG헬로비전,"5,230",110,-2.06%,"2,500","4,050","77,447",5.29,"132,678",-1.32,-39.53,
406,KODEX 코스피,"29,800",295,-0.98%,0,"4,023","13,500",0.02,"223,529",N/A,N/A,
407,퍼시스,"34,950",100,+0.29%,"1,000","4,019","11,500",20.46,"1,467",10.72,7.53,
408,SIMPAC,"6,110",190,-3.02%,500,"3,998","65,430",8.10,"113,054",4.86,7.54,
409,코스모화학,"14,300",700,-4.67%,"1,000","3,984","27,860",1.36,"440,097",-66.82,-19.42,
410,교촌에프앤비,"15,850",100,-0.63%,500,"3,960","24,983",0.29,"46,515",14.32,20.40,
411,한전산업,"12,100",450,+3.86%,500,"3,945","32,600",1.00,"897,978",54.02,16.20,
412,KBSTAR KIS종합채권(A-이상)액티브,"98,990",25,-0.03%,0,"3,934","3,974",0.00,6,N/A,N/A,
413,경방,"14,250",100,+0.71%,500,"3,907","27,415",2.04,"11,974",15.76,1.76,
414,와이투솔루션,"2,440",0,0.00%,500,"3,885","159,236",1.07,0,44.36,-64.02,
415,광동제약,"7,400",160,-2.12%,"1,000","3,879","52,421",20.06,"102,997",36.45,10.08,
416,웅진씽크빅,"3,325",55,+1.68%,500,"3,841","115,506",4.95,"893,674",11.16,0.23,
417,종근당홀딩스,"76,400",500,-0.65%,"2,500","3,828","5,010",7.43,"3,473",8.28,15.59,
418,성신양회,"15,600",950,-5.74%,"5,000","3,824","24,516",8.36,"752,825",61.18,2.53,
419,잇츠한불,"17,350",750,-4.14%,500,"3,805","21,929",0.56,"29,730",-25.93,-3.52,
420,현대차증권,"11,950",50,-0.42%,"5,000","3,790","31,713",3.37,"37,731",4.98,8.20,
421,한일홀딩스,"13,100",150,-1.13%,"1,000","3,775","28,816",3.17,"11,624",6.16,4.21,
422,한국금융지주우,"64,300",100,+0.16%,"5,000","3,767","5,858",15.52,"12,253",2.20,N/A,
423,이리츠코크렙,"5,940",0,0.00%,500,"3,762","63,342",0.39,"40,160",24.85,2.85,
424,한국철강,"8,160",130,-1.57%,"1,000","3,758","46,050",10.64,"125,613",15.63,-1.19,
425,KODEX 선진국MSCI World,"21,600",125,-0.58%,0,"3,737","17,300",0.00,"22,328",N/A,N/A,
426,삼천리,"91,800",300,+0.33%,"5,000","3,723","4,055",20.43,"9,342",4.82,2.49,
427,자이에스앤디,"9,560",20,-0.21%,"1,000","3,708","38,783",0.53,"77,718",8.75,13.59,
428,한국콜마홀딩스,"19,950",350,-1.72%,500,"3,706","18,577",15.22,"21,449",4.47,21.96,
429,세진중공업,"6,500",20,+0.31%,500,"3,695","56,849",0.71,"539,576",13.89,1.19,
430,TIGER Fn메타버스,"11,390",170,-1.47%,0,"3,679","32,300",0.56,"1,495,758",N/A,N/A,
431,KODEX 코스닥 150,"13,905",245,-1.73%,0,"3,671","26,400",3.27,"3,175,672",N/A,N/A,
432,동일산업,"150,000","2,500",+1.69%,"5,000","3,638","2,425",3.23,"1,137",10.34,2.24,
433,KINDEX 미국나스닥100,"14,430",165,-1.13%,0,"3,608","25,000",0.01,"185,860",N/A,N/A,
434,이월드,"2,540",40,+1.60%,"1,000","3,602","141,806",0.65,"1,109,414",-56.44,-4.11,
435,한화3우B,"15,950",50,-0.31%,"5,000","3,584","22,472",11.22,"46,699",2.70,N/A,
436,하나제약,"20,050",700,-3.37%,500,"3,563","17,773",0.99,"49,798",21.28,6.58,
437,신대양제지,"88,000",800,+0.92%,"5,000","3,546","4,030",10.53,"1,408",7.10,9.72,
438,에이프로젠제약,887,5,-0.56%,500,"3,535","398,576",3.78,"660,559",63.36,2.99,
439,농심홀딩스,"76,100",200,-0.26%,"5,000","3,529","4,638",1.84,"4,751",6.85,7.23,
440,엘브이엠씨홀딩스,"3,545",100,-2.74%,0,"3,526","99,455",16.81,"235,749",-11.78,-7.20,
441,조광피혁,"52,900",300,-0.56%,"5,000","3,517","6,649",0.35,262,26.96,6.66,
442,삼성출판사,"35,150",750,+2.18%,500,"3,515","10,000",0.49,"185,323",6.82,45.58,
443,KH 필룩스,"2,560",50,-1.92%,500,"3,500","136,730",8.98,"595,928",-5.78,-17.37,
444,동양,"1,465",35,-2.33%,500,"3,497","238,684",6.18,"1,218,840",-26.16,-2.92,
445,대원제약,"16,450",0,0.00%,500,"3,491","21,225",12.84,"157,001",101.54,8.42,
446,NPC,"9,500",550,-5.47%,500,"3,488","36,720",3.84,"2,246,019",16.13,6.53,
447,인스코비,"3,170",65,-2.01%,500,"3,482","109,848",4.22,"919,789",36.44,8.32,
448,포스코강판,"58,000","1,600",-2.68%,"5,000","3,480","6,000",2.78,"52,751",3.92,2.88,
449,아이마켓코리아,"10,400",50,+0.48%,500,"3,477","33,429",7.55,"51,900",12.00,5.87,
450,삼양패키징,"24,450",700,-2.78%,"5,000","3,474","14,210",7.63,"28,335",10.77,10.88,
451,삼진제약,"24,950",50,+0.20%,"1,000","3,468","13,900",9.04,"60,115",9.44,13.57,
452,티웨이항공,"3,140",80,-2.48%,500,"3,464","110,330",0.18,"237,824",-2.47,-90.15,
453,디앤디플랫폼리츠,"5,340",30,-0.56%,"1,000","3,439","64,400",0.19,"102,958",93.68,N/A,
454,테이팩스,"72,700","2,300",-3.07%,500,"3,430","4,718",2.16,"39,331",19.84,12.86,
455,에이프로젠 MED,"1,720",15,-0.86%,500,"3,425","199,155",1.10,"1,238,411",-9.89,-15.79,
456,동부건설,"14,900",150,+1.02%,"5,000","3,388","22,739",1.67,"115,807",3.23,10.10,
457,미원홀딩스,"146,000","2,000",-1.35%,500,"3,387","2,320",1.29,"4,994",11.11,11.35,
458,유진투자증권,"3,485",40,-1.13%,"5,000","3,376","96,866",6.71,"143,537",3.66,9.11,
459,대상홀딩스,"9,310",160,-1.69%,"1,000","3,371","36,213",4.04,"37,470",6.62,14.21,
460,TIGER 차이나항셍테크,"7,450",135,+1.85%,0,"3,371","45,250",0.44,"721,837",N/A,N/A,
461,삼부토건,"2,450",85,+3.59%,"1,000","3,370","137,556",3.95,"5,086,834",-25.79,-8.73,
462,계룡건설,"37,550","1,450",+4.02%,"5,000","3,354","8,931",21.76,"290,388",2.96,18.69,
463,KBSTAR Fn수소경제테마,"11,440",155,-1.34%,0,"3,340","29,200",0.05,"97,515",N/A,N/A,
464,화승인더,"6,030",50,-0.82%,500,"3,336","55,320",13.12,"117,273",14.64,10.94,
465,유니퀘스트,"12,150",350,-2.80%,500,"3,322","27,343",44.92,"469,882",6.66,10.80,
466,신도리코,"32,900",150,+0.46%,"5,000","3,316","10,080",16.78,"11,199",3.88,-1.56,
467,환인제약,"17,750",50,-0.28%,500,"3,302","18,600",14.49,"28,707",12.03,8.21,
468,모토닉,"10,000",200,-1.96%,500,"3,300","33,000",10.94,"63,321",19.76,3.61,
469,TIGER KRX BBIG K-뉴딜,"10,825",90,-0.82%,0,"3,296","30,450",0.27,"478,366",N/A,N/A,
470,E1,"47,900",100,-0.21%,"5,000","3,286","6,860",3.54,"5,500",2.14,5.19,
471,TIGER 미국S&P500선물(H),"54,800",320,-0.58%,0,"3,274","5,975",0.09,"59,144",N/A,N/A,
472,KBSTAR 단기통안채,"104,825",0,0.00%,0,"3,257","3,107",0.00,"1,322,006",N/A,N/A,
473,두산우,"81,400",900,+1.12%,"5,000","3,253","3,996",12.94,"2,037",-46.89,N/A,
474,한국쉘석유,"250,000","1,000",-0.40%,"5,000","3,250","1,300",63.50,"1,550",13.07,21.44,
475,진흥기업,"2,230",10,-0.45%,500,"3,244","145,472",1.27,"1,041,813",6.26,18.86,
476,대교,"3,805",40,-1.04%,500,"3,223","84,703",3.83,"56,531",-140.93,-3.02,
477,조선내화,"80,400",500,+0.63%,"5,000","3,216","4,000",2.80,"1,016",17.06,5.55,
478,SOL 200TR,"13,380",100,-0.74%,0,"3,211","24,000",0.00,"3,219",N/A,N/A,
479,한솔제지,"13,400",200,-1.47%,"5,000","3,189","23,801",9.31,"51,140",21.27,9.67,
480,화신,"9,120",150,-1.62%,500,"3,185","34,920",2.94,"269,273",9.07,-19.53,
481,삼성제약,"4,735",135,-2.77%,500,"3,180","67,162",6.18,"393,242",-6.43,-30.13,
482,신세계 I&C,"184,000","6,000",-3.16%,"5,000","3,165","1,720",1.77,"6,664",8.95,33.89,
483,KBSTAR ESG사회책임투자,"13,045",155,-1.17%,0,"3,163","24,250",0.07,"12,747",N/A,N/A,
484,BYC,"505,000","8,000",-1.56%,"5,000","3,154",625,1.93,832,17.28,4.12,
485,태림포장,"4,420",20,-0.45%,500,"3,130","70,806",0.51,"142,580",15.14,0.97,
486,KTB투자증권,"5,180",10,+0.19%,"5,000","3,124","60,314",11.20,"182,780",2.23,13.04,
487,서연,"13,300",650,+5.14%,500,"3,123","23,480",0.00,"1,541,676",7.80,-1.26,
488,현대리바트,"15,200",0,0.00%,"1,000","3,121","20,535",4.36,"30,090",22.39,5.66,
489,알루코,"3,470",85,-2.39%,500,"3,116","89,791",0.89,"571,196",-18.86,-7.24,
490,금호석유우,"102,500",500,-0.49%,"5,000","3,099","3,023",10.09,"12,667",1.83,N/A,
491,HANARO MSCI Korea TR,"15,840",95,-0.60%,0,"3,089","19,500",0.00,74,N/A,N/A,
492,조일알미늄,"2,490",60,-2.35%,500,"3,054","122,632",0.86,"3,226,589",35.07,-7.85,
493,한독,"22,150",250,-1.12%,500,"3,049","13,764",1.92,"26,809",20.32,7.47,
494,HDC랩스,"11,700",150,-1.27%,500,"3,037","25,958",4.64,"5,406",17.54,9.42,
495,풍산홀딩스,"29,150",250,+0.87%,"5,000","3,034","10,410",10.10,"25,006",2.01,1.92,
496,남선알미늄,"2,750",175,+6.80%,500,"3,030","110,179",3.13,"9,454,294",8.04,5.72,
497,신세계푸드,"78,100","1,700",-2.13%,"5,000","3,024","3,872",5.53,"9,077",-42.54,-7.35,
498,아세아,"138,000","1,000",+0.73%,"5,000","3,024","2,191",5.46,"2,383",3.31,5.30,
499,일성건설,"5,580",410,-6.84%,500,"3,015","54,025",64.23,"2,033,957",52.64,3.16,
500,삼익THK,"14,250",0,0.00%,500,"2,992","21,000",34.74,"730,753",47.82,2.36,
501,케이씨,"22,050",150,-0.68%,500,"2,989","13,554",7.70,"35,423",7.69,9.19,
502,KINDEX 200TR,"24,000",215,-0.89%,0,"2,976","12,400",0.00,"72,080",N/A,N/A,
503,CJ4우(전환),"70,400",600,-0.85%,"5,000","2,975","4,227",3.84,"5,631",61.01,N/A,
504,KODEX 은행,"7,775",185,+2.44%,0,"2,974","38,250",0.65,"1,907,175",N/A,N/A,
505,SNT중공업,"8,860",50,-0.56%,"2,500","2,946","33,253",6.66,"21,069",4.70,1.37,
506,삼아알미늄,"26,600",900,-3.27%,500,"2,926","11,000",33.01,"189,218",28.73,3.20,
507,디아이,"9,270",180,-1.90%,500,"2,920","31,497",6.68,"222,545",21.41,4.13,
508,남양유업,"404,500",0,0.00%,"5,000","2,912",720,13.47,604,-5.98,-6.04,
509,하이트진로홀딩스,"12,450",50,+0.40%,"5,000","2,889","23,207",7.04,"12,125",6.27,13.89,
510,한세예스24홀딩스,"7,180",50,-0.69%,500,"2,872","40,000",4.05,"64,446",4.07,16.99,
511,휴비스,"8,230",90,-1.08%,"5,000","2,839","34,500",3.74,"31,036",4.23,19.01,
512,삼성전기우,"97,600","2,000",-2.01%,"5,000","2,837","2,907",8.63,"9,639",7.50,N/A,
513,DB금융투자,"6,670",50,+0.76%,"5,000","2,831","42,446",11.30,"116,981",1.99,12.86,
514,대동,"11,900",250,+2.15%,"1,000","2,824","23,728",4.63,"594,925",8.87,7.74,
515,대영포장,"2,600",15,-0.57%,500,"2,818","108,395",3.23,"2,262,829",26.26,2.18,
516,KISCO홀딩스,"15,250",100,-0.65%,"1,000","2,818","18,476",10.58,"7,726",3.89,4.16,
517,광주신세계,"176,000","1,500",-0.85%,"5,000","2,816","1,600",12.38,"1,508",5.63,6.35,
518,세아제강,"98,700","1,000",-1.00%,"5,000","2,799","2,836",8.33,"4,588",4.47,5.67,
